"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
1,"Wii Sports","Wii","2006","Sports","Nintendo",41.49,29.02,3.77,8.46,82.74
4,"Wii Sports Resort","Wii","2009","Sports","Nintendo",15.75,11.01,3.28,2.96,33
14,"Wii Fit","Wii","2007","Sports","Nintendo",8.94,8.03,3.6,2.15,22.72
15,"Wii Fit Plus","Wii","2009","Sports","Nintendo",9.09,8.59,2.53,1.79,22
86,"Mario & Sonic at the Olympic Games","Wii","2007","Sports","Sega",2.58,3.9,0.66,0.91,8.06
118,"Zumba Fitness","Wii","2010","Sports","505 Games",3.5,2.64,0,0.67,6.81
234,"Mario & Sonic at the Olympic Winter Games","Wii","2009","Sports","Sega",1.89,1.99,0.22,0.48,4.58
304,"EA Sports Active","Wii","2009","Sports","Electronic Arts",2.1,1.36,0.06,0.4,3.92
324,"Mario & Sonic at the London 2012 Olympic Games","Wii","2011","Sports","Sega",1.14,1.91,0.27,0.46,3.78
502,"Zumba Fitness 2","Wii","2011","Sports","Majesco Entertainment",1.54,1.07,0,0.28,2.88
582,"Mario Strikers Charged","Wii","2007","Sports","Nintendo",1.07,1.06,0.24,0.25,2.62
606,"Deca Sports","Wii","2008","Sports","Konami Digital Entertainment",1.13,0.87,0.29,0.25,2.54
679,"My Fitness Coach","Wii","2008","Sports","Ubisoft",1.2,0.9,0,0.24,2.34
758,"Your Shape featuring Jenny McCarthy","Wii","2009","Sports","Ubisoft",1.51,0.47,0,0.18,2.16
783,"Mario Sports Mix","Wii","2010","Sports","Nintendo",0.9,0.45,0.63,0.13,2.11
894,"Mario Super Sluggers","Wii","2008","Sports","Nintendo",1.51,0,0.29,0.12,1.93
1050,"Cabela's Big Game Hunter 2010","Wii","2009","Sports","Activision Value",1.58,0,0,0.12,1.7
1053,"We Ski","Wii","2008","Sports","Namco Bandai Games",0.99,0.42,0.14,0.15,1.7
1084,"Shaun White Snowboarding: Road Trip","Wii","2008","Sports","Ubisoft",0.94,0.57,0,0.17,1.67
1086,"Big Beach Sports","Wii","2008","Sports","THQ",0.45,1.02,0,0.2,1.67
1171,"Carnival Games: Mini Golf","Wii","2008","Sports","Take-Two Interactive",0.87,0.56,0,0.15,1.58
1200,"Active Life: Outdoor Challenge","Wii","2008","Sports","Atari",0.79,0.44,0.19,0.14,1.55
1277,"New Play Control! Mario Power Tennis","Wii","2009","Sports","Nintendo",0.37,0.69,0.28,0.14,1.48
1351,"Tiger Woods PGA Tour 09 All-Play","Wii","2008","Sports","Electronic Arts",0.81,0.48,0,0.14,1.43
1513,"Gold's Gym: Cardio Workout","Wii","2008","Sports","Ubisoft",1.11,0.04,0.06,0.09,1.31
1521,"EA Playground","Wii","2007","Sports","Electronic Arts",0.69,0.48,0,0.13,1.3
1524,"EA Sports Active 2","Wii","2010","Sports","Electronic Arts",0.78,0.4,0,0.11,1.3
1564,"Jillian Michaels' Fitness Ultimatum 2009","Wii","2008","Sports","Deep Silver",0.96,0.2,0,0.11,1.27
1566,"Rockstar Games presents Table Tennis","Wii","2007","Sports","Take-Two Interactive",0.39,0.73,0,0.15,1.27
1583,"Winter Sports: The Ultimate Challenge","Wii","2007","Sports","RTL",0.45,0.68,0,0.12,1.26
1692,"Pro Evolution Soccer 2008","Wii","2008","Sports","Konami Digital Entertainment",0.09,0.84,0.11,0.15,1.19
1742,"EA Sports Active: More Workouts","Wii","2009","Sports","Electronic Arts",0.78,0.28,0,0.1,1.16
1886,"Tiger Woods PGA Tour 10","Wii","2009","Sports","Electronic Arts",0.61,0.37,0,0.11,1.09
1899,"The Biggest Loser","Wii","2009","Sports","THQ",0.87,0.12,0,0.09,1.08
1905,"FIFA Soccer 11","Wii","2010","Sports","Electronic Arts",0.26,0.69,0,0.12,1.08
1948,"Sega Superstars Tennis","Wii","2008","Sports","Sega",0.28,0.65,0,0.13,1.06
2017,"Tiger Woods PGA Tour 08","Wii","2007","Sports","Electronic Arts",0.94,0.02,0,0.08,1.03
2028,"FIFA Soccer 08","Wii","2007","Sports","Electronic Arts",0.32,0.59,0.01,0.11,1.02
2102,"FIFA Soccer 10","Wii","2009","Sports","Electronic Arts",0.23,0.65,0,0.11,0.99
2138,"Club Penguin: Game Day!","Wii","2010","Sports","Disney Interactive Studios",0.56,0.33,0,0.08,0.97
